round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
1,19,Tobias Harris,SF,United States,Charlotte Bobcats,Tennessee,Yes,College Freshman,2011
1,20,Donatas Motiejūnas,PF,Lithuania,Minnesota Timberwolves,Benetton Treviso (Italy),Yes,Playing Internationally,2011
1,21,Nolan Smith,PG,United States,Portland Trail Blazers,Duke,No,College Senior,2011
1,22,Kenneth Faried,PF,United States,Denver Nuggets,Morehead State,No,College Senior,2011
1,23,Nikola Mirotić,PF,Spain,Houston Rockets,Real Madrid (Spain),Yes,Playing Internationally,2011
1,24,Reggie Jackson,PG,United States,Oklahoma City Thunder,Boston College,No,College Junior,2011
1,25,MarShon Brooks,SG,United States,Boston Celtics,Providence,Yes,College Senior,2011
1,26,Jordan Hamilton,SG,United States,Dallas Mavericks,Texas,Yes,College Sophmore,2011
1,27,JaJuan Johnson,PF,United States,New Jersey Nets,Purdue,Yes,College Senior,2011
1,28,Norris Cole,PG,United States,Chicago Bulls,Cleveland State,Yes,College Senior,2011
1,29,Cory Joseph,PG,Canada,San Antonio Spurs,Texas,No,College Freshman,2011
1,30,Jimmy Butler,SF/SG,United States,Chicago Bulls,Marquette,No,College Senior,2011
2,31,Bojan Bogdanović,SF/PF,Croatia,Miami Heat,Cibona Zagreb (Croatia),Yes,Playing Internationally,2011
2,32,Justin Harper,PF,United States,Cleveland Cavaliers,Richmond,Yes,College Senior,2011
2,33,Kyle Singler,SF,United States,Detroit Pistons,Duke,Yes,College Senior,2011
2,34,Shelvin Mack,PG,United States,Washington Wizards,Butler,No,College Junior,2011
2,35,Tyler Honeycutt,SF,United States,Sacramento Kings,UCLA,No,College Sophmore,2011
2,36,Jordan Williams,PF,United States,New Jersey Nets,Maryland,No,College Sophmore,2011
2,37,Trey Thompkins,PF,United States,Los Angeles Clippers,Georgia,Yes,College Junior,2011
2,38,Chandler Parsons,SF,United States,Houston Rockets,Florida,Yes,College Senior,2011
2,39,Jeremy Tyler,PF,United States,Charlotte Bobcats,Tokyo Apache (Japan),Yes,Playing Internationally,2011
2,40,Jon Leuer,PF,United States,Milwaukee Bucks,Wisconsin,No,College Senior,2011
2,41,Darius Morris,PG,United States,Los Angeles Lakers,Michigan,Yes,College Sophmore,2011
2,42,Dāvis Bertāns,SF,Latvia,Indiana Pacers,Union Olimpija (Slovenia),Yes,Playing Internationally,2011
2,43,Malcolm Lee,SG,United States,Chicago Bulls,UCLA,Yes,College Junior,2011
2,44,Charles Jenkins,PG,United States,Golden State Warriors,Hofstra,Yes,College Senior,2011
2,45,Josh Harrellson,C,United States,New Orleans Hornets,Kentucky,Yes,College Senior,2011
2,46,Andrew Goudelock,PG,United States,Los Angeles Lakers,College of Charleston,Yes,College Senior,2011
2,47,Travis Leslie,SG,United States,Los Angeles Clippers,Georgia,Yes,College Junior,2011
2,48,Keith Benson,C,United States,Atlanta Hawks,Oakland,No,College Senior,2011
2,49,Josh Selby,PG,United States,Memphis Grizzlies,Kansas,No,College Freshman,2011
2,50,Lavoy Allen,PF,United States,Philadelphia 76ers,Temple,Yes,College Senior,2011
2,51,Jon Diebler,SG,United States,Portland Trail Blazers,Ohio State,No,College Senior,2011
2,52,Vernon Macklin,PF,United States,Detroit Pistons,Florida,Yes,College Senior,2011
2,53,DeAndre Liggins,SG,United States,Orlando Magic,Kentucky,No,College Junior,2011
2,54,Milan Mačvan,PF,Serbia,Cleveland Cavaliers,Maccabi Tel Aviv (Israel),Yes,Playing Internationally,2011
2,55,E'Twaun Moore,SG,United States,Boston Celtics,Purdue,No,College Senior,2011
2,56,Chukwudiebere Maduabum,PF,Nigeria,Los Angeles Lakers,Bakersfield Jam (D-League),Yes,Playing Internationally,2011
2,57,Tanguy Ngombo,SF,Qatar,Dallas Mavericks,Al Rayyan (Qatar),Yes,Playing Internationally,2011
2,58,Ater Majok,PF,Australia,Los Angeles Lakers,Gold Coast Blaze (Australia),Yes,Playing Internationally,2011
2,59,Ádám Hanga,SG,Hungary,San Antonio Spurs,Albacomp (Hungary),No,Playing Internationally,2011
2,60,Isaiah Thomas,PG,United States,Sacramento Kings,Washington,Yes,College Junior,2011
1,1,Anthony Davis,PF/C,United States,New Orleans Hornets,Kentucky,No,College Freshman,2012
1,2,Michael Kidd-Gilchrist,SF,United States,Charlotte Bobcats,Kentucky,No,College Freshman,2012
1,3,Bradley Beal,SG,United States,Washington Wizards,Florida,No,College Freshman,2012
1,4,Dion Waiters,SG,United States,Cleveland Cavaliers,Syracuse,No,College Sophmore,2012
1,5,Thomas Robinson,PF,United States,Sacramento Kings,Kansas,No,College Junior,2012
1,6,Damian Lillard,PG,United States,Portland Trail Blazers,Weber St.,Yes,College Junior,2012
1,7,Harrison Barnes,SF,United States,Golden State Warriors,North Carolina,No,College Sophmore,2012
1,8,Terrence Ross,SG,United States,Toronto Raptors,Washington,No,College Sophmore,2012
1,9,Andre Drummond,C,United States,Detroit Pistons,Connecticut,No,College Freshman,2012
1,10,Austin Rivers,SG,United States,New Orleans Hornets,Duke,Yes,College Freshman,2012
1,11,Meyers Leonard,C,United States,Portland Trail Blazers,Illinois,No,College Sophmore,2012
1,12,Jeremy Lamb,SG,United States,Houston Rockets,Connecticut,Yes,College Sophmore,2012
1,13,Kendall Marshall,PG,United States,Phoenix Suns,North Carolina,No,College Sophmore,2012
1,14,John Henson,PF,United States,Milwaukee Bucks,North Carolina,Yes,College Junior,2012
1,15,Maurice Harkless,SF,Puerto Rico,Philadelphia 76ers,St. John's,No,College Freshman,2012
1,16,Royce White,PF,United States,Houston Rockets,Iowa St.,Yes,College Sophmore,2012
1,17,Tyler Zeller,C,United States,Dallas Mavericks,North Carolina,Yes,College Senior,2012
1,18,Terrence Jones,PF,United States,Houston Rockets,Kentucky,Yes,College Sophmore,2012
1,19,Andrew Nicholson,PF,Canada,Orlando Magic,St. Bonaventure,No,College Senior,2012
1,20,Evan Fournier,SG,France,Denver Nuggets,Poitiers Basket,No,College Freshman,2012
1,21,Jared Sullinger,PF,United States,Boston Celtics,Ohio St.,No,College Sophmore,2012
1,22,Fab Melo,C,Brazil,Boston Celtics,Syracuse,Yes,College Sophmore,2012
1,23,John Jenkins,SG,United States,Atlanta Hawks,Vanderbilt,No,College Junior,2012
1,24,Jared Cunningham,SG,United States,Cleveland Cavaliers,Oregon St.,Yes,College Junior,2012
1,25,Tony Wroten,PG,United States,Memphis Grizzlies,Washington,No,College Freshman,2012
1,26,Miles Plumlee,C,United States,Indiana Pacers,Duke,No,College Senior,2012
1,27,Arnett Moultrie,PF,United States,Miami Heat,Mississippi St.,Yes,College Junior,2012
1,28,Perry Jones III,SF,United States,Oklahoma City Thunder,Baylor,No,College Sophmore,2012
1,29,Marquis Teague,PG,United States,Chicago Bulls,Kentucky,No,College Freshman,2012
1,30,Festus Ezeli,C,Nigeria,Golden State Warriors,Vanderbilt,Yes,College Senior,2012
2,31,Jeffery Taylor,SF,Sweden,Charlotte Bobcats,Vanderbilt,No,College Senior,2012
2,32,Tomáš Satoranský,PG,Czech Republic,Washington Wizards,Banca Cívica Sevilla (Spain),No,Playing Internationally,2012
2,33,Bernard James,C,United States,Cleveland Cavaliers,Florida St.,Yes,College Senior,2012
2,34,Jae Crowder,SF,United States,Cleveland Cavaliers,Marquette,Yes,College Senior,2012
2,35,Draymond Green,PF,United States,Golden State Warriors,Michigan St.,Yes,College Senior,2012
2,36,Orlando Johnson,SG,United States,Sacramento Kings,UC Santa Barbara,Yes,College Senior,2012
2,37,Quincy Acy,PF,United States,Toronto Raptors,Baylor,No,College Senior,2012
2,38,Quincy Miller,SF,United States,Denver Nuggets,Baylor,Yes,College Freshman,2012
2,39,Khris Middleton,SF,United States,Detroit Pistons,Texas A&M,No,College Junior,2012
2,40,Will Barton,SG,United States,Portland Trail Blazers,Memphis,Yes,College Sophmore,2012
2,41,Tyshawn Taylor,PG,United States,Portland Trail Blazers,Kansas,Yes,College Senior,2012
2,42,Doron Lamb,SG,United States,Milwaukee Bucks,Kentucky,No,College Sophmore,2012
2,43,Mike Scott,PF,United States,Atlanta Hawks,Virginia,Yes,College Senior,2012
2,44,Kim English,SG,United States,Detroit Pistons,Missouri,Yes,College Senior,2012
2,45,Justin Hamilton,C,United States,Philadelphia 76ers,LSU,Yes,College Junior,2012
2,46,Darius Miller,SF,United States,New Orleans Hornets,Kentucky,Yes,College Senior,2012
2,47,Kevin Murphy,SG,United States,Utah Jazz,Tennessee Tech,No,College Senior,2012
2,48,Kostas Papanikolaou,SF,Greece,New York Knicks,Olympiacos (Greece),No,Playing Internationally,2012
2,49,Kyle O'Quinn,PF,United States,Orlando Magic,Norfolk St.,No,College Senior,2012
2,50,İzzet Türkyılmaz,PF,Turkey,Denver Nuggets,Banvit (Turkey),No,Playing Internationally,2012
2,51,Kris Joseph,SF,Canada,Boston Celtics,Syracuse,No,College Senior,2012
2,52,Ognjen Kuzmić,C,Serbia,Golden State Warriors,Clinicas Rincón (Spain),Yes,Playing Internationally,2012
2,53,Furkan Aldemir,PF,Turkey,Los Angeles Clippers,Galatasaray (Turkey),No,Playing Internationally,2012
2,54,Tornike Shengelia,SF,Georgia,Philadelphia 76ers,Spirou Charleroi (Belgium),Yes,Playing Internationally,2012
2,55,Darius Johnson-Odom,SG,United States,Dallas Mavericks,Marquette,Yes,College Senior,2012
2,56,Tomislav Zubčić,PF,Croatia,Toronto Raptors,Cibona Zagreb (Croatia),Yes,Playing Internationally,2012
2,57,İlkan Karaman,PF,Turkey,Brooklyn Nets,Pınar Karşıyaka (Turkey),Yes,Playing Internationally,2012
2,58,Robbie Hummel,SF,United States,Minnesota Timberwolves,Purdue,Yes,College Senior,2012
2,59,Marcus Denmon,PG,United States,San Antonio Spurs,Missouri,No,College Senior,2012
2,60,Robert Sacre,C,Canada,Los Angeles Lakers,Gonzaga,Yes,College Senior,2012
1,1,Anthony Bennett,PF/SF,Canada,Cleveland Cavaliers,UNLV,No,College Freshman,2013
1,2,Victor Oladipo,SG/PG,United States,Orlando Magic,Indiana,No,College Junior,2013
1,3,Otto Porter Jr.,SF,United States,Washington Wizards,Georgetown,No,College Sophmore,2013
1,4,Cody Zeller,C/PF,United States,Charlotte Bobcats,Indiana,No,College Sophmore,2013
1,5,Alex Len,C,Ukraine,Phoenix Suns,Maryland,No,College Sophmore,2013
1,6,Nerlens Noel,C,United States,New Orleans Pelicans,Kentucky,Yes,College Freshman,2013
1,7,Ben McLemore,SG,United States,Sacramento Kings,Kansas,No,College Freshman,2013
1,8,Kentavious Caldwell-Pope,SG,United States,Detroit Pistons,Georgia,No,College Sophmore,2013
1,9,Trey Burke,PG,United States,Minnesota Timberwolves,Michigan,Yes,College Sophmore,2013
1,10,CJ McCollum,SG,United States,Portland Trail Blazers,Lehigh,No,College Senior,2013
1,11,Michael Carter-Williams,PG,United States,Philadelphia 76ers,Syracuse,No,College Sophmore,2013
1,12,Steven Adams,C,New Zealand,Oklahoma City Thunder,Pittsburgh,Yes,College Freshman,2013
1,13,Kelly Olynyk,C,Canada,Dallas Mavericks,Gonzaga,Yes,College Junior,2013
1,14,Shabazz Muhammad,SG/SF,United States,Utah Jazz,UCLA,Yes,College Freshman,2013
1,15,Giannis Antetokounmpo,PF,Greece,Milwaukee Bucks,Filathlitikos (Greece),No,Playing Internationally,2013
1,16,Lucas Nogueira,C,Brazil,Boston Celtics,Estudiantes (Spain),Yes,Playing Internationally,2013
1,17,Dennis Schröder,PG,Germany,Atlanta Hawks,Phantoms Braunschweig (Germany),No,Playing Internationally,2013
1,18,Shane Larkin,PG,United States,Atlanta Hawks,Miami,Yes,College Sophmore,2013
1,19,Sergey Karasev,SG/SF,Russia,Cleveland Cavaliers,Triumph Lyubertsy (Russia),Yes,Playing Internationally,2013
1,20,Tony Snell,SF,United States,Chicago Bulls,New Mexico,No,College Junior,2013
1,21,Gorgui Dieng,C,Senegal,Utah Jazz,Louisville,Yes,College Junior,2013
1,22,Mason Plumlee,C,United States,Brooklyn Nets,Duke,No,College Senior,2013
1,23,Solomon Hill,SF,United States,Indiana Pacers,Arizona,No,College Senior,2013
1,24,Tim Hardaway Jr.,SG,United States,New York Knicks,Michigan,No,College Junior,2013
1,25,Reggie Bullock,SF,United States,Los Angeles Clippers,North Carolina,No,College Junior,2013
1,26,André Roberson,SG/SF,United States,Minnesota Timberwolves,Colorado,Yes,College Junior,2013
1,27,Rudy Gobert,C,France,Denver Nuggets,Cholet Basket,Yes,College Freshman,2013
1,28,Livio Jean-Charles,SF,France,San Antonio Spurs,ASVEL Basket,No,College Freshman,2013
1,29,Archie Goodwin,SG,United States,Oklahoma City Thunder,Kentucky,Yes,College Freshman,2013
1,30,Nemanja Nedović,PG,Serbia,Phoenix Suns,Lietuvos Rytas (Lithuania),Yes,Playing Internationally,2013
2,31,Allen Crabbe,SG,United States,Cleveland Cavaliers,California,Yes,College Junior,2013
2,32,Álex Abrines,SG/SF,Spain,Oklahoma City Thunder,FC Barcelona (Spain),Yes,Playing Internationally,2013
2,33,Carrick Felix,SG,United States,Cleveland Cavaliers,Arizona State,No,College Senior,2013
2,34,Isaiah Canaan,PG,United States,Houston Rockets,Murray State,Yes,College Senior,2013
2,35,Glen Rice Jr.,SG,United States,Philadelphia 76ers,Rio Grande Valley Vipers (NBA D-League),Yes,Playing Internationally,2013
2,36,Ray McCallum Jr.,PG,United States,Sacramento Kings,Detroit,No,College Junior,2013
2,37,Tony Mitchell,PF,United States,Detroit Pistons,North Texas,No,College Sophmore,2013
2,38,Nate Wolters,PG,United States,Washington Wizards,South Dakota State,Yes,College Sophmore,2013
2,39,Jeff Withey,C,United States,Portland Trail Blazers,Kansas,Yes,College Senior,2013
2,40,Grant Jerrett,PF,United States,Portland Trail Blazers,Arizona,Yes,College Freshman,2013
2,41,Jamaal Franklin,SG,United States,Memphis Grizzlies,San Diego State,Yes,College Junior,2013
2,42,Pierre Jackson,PG,United States,Philadelphia 76ers,Baylor,Yes,College Senior,2013
2,43,Ricky Ledo,SG,United States,Milwaukee Bucks,Providence,Yes,College Freshman,2013
2,44,Mike Muscala,C,United States,Dallas Mavericks,Bucknell,Yes,College Senior,2013
2,45,Marko Todorović,PF/C,Montenegro,Portland Trail Blazers,FC Barcelona (Spain),Yes,Playing Internationally,2013
2,46,Erick Green,PG,United States,Utah Jazz,Virginia Tech,Yes,College Senior,2013
2,47,Raul Neto,PG,Brazil,Atlanta Hawks,Gipuzkoa Basket (Spain),Yes,Playing Internationally,2013
2,48,Ryan Kelly,PF,United States,Los Angeles Lakers,Duke,No,College Senior,2013
2,49,Erik Murphy,PF,Finland,Chicago Bulls,Florida,No,College Senior,2013
2,50,James Ennis,SF,United States,Atlanta Hawks,Long Beach State,Yes,College Senior,2013
2,51,Romero Osby,PF,United States,Orlando Magic,Oklahoma,Yes,College Senior,2013
2,52,Lorenzo Brown,PG,United States,Minnesota Timberwolves,NC State,Yes,College Junior,2013
2,53,Colton Iverson,C,United States,Indiana Pacers,Colorado State,Yes,College Senior,2013
2,54,Arsalan Kazemi,PF,Iran,Washington Wizards,Oregon,Yes,College Senior,2013
2,55,Joffrey Lauvergne,C,France,Memphis Grizzlies,Partizan Belgrade (Serbia),Yes,Playing Internationally,2013
2,56,Peyton Siva,PG,United States,Detroit Pistons,Louisville,Yes,College Senior,2013
2,57,Alex Oriakhi,C,United States,Phoenix Suns,Missouri,Yes,College Senior,2013
2,58,Deshaun Thomas,SF,United States,San Antonio Spurs,Ohio State,No,College Junior,2013
2,59,Bojan Dubljević,PF,Montenegro,Minnesota Timberwolves,Valencia Basket (Spain),Yes,Playing Internationally,2013
2,60,Jānis Timma,SF,Latvia,Memphis Grizzlies,BK Ventspils (Latvia),Yes,Playing Internationally,2013
1,1,Andrew Wiggins,SF/SG,Canada,Cleveland Cavaliers,Kansas,No,College Freshman,2014
1,2,Jabari Parker,SF/PF,United States,Milwaukee Bucks,Duke,No,College Freshman,2014
1,3,Joel Embiid,C,Cameroon,Philadelphia 76ers,Kansas,No,College Freshman,2014
1,4,Aaron Gordon,PF,United States,Orlando Magic,Arizona,No,College Freshman,2014
1,5,Dante Exum,PG/SG,Australia,Utah Jazz,Australian Institute of Sport,No,Playing Internationally,2014
1,6,Marcus Smart,SG/PG,United States,Boston Celtics,Oklahoma State,No,College Sophmore,2014
1,7,Julius Randle,PF,United States,Los Angeles Lakers,Kentucky,No,College Freshman,2014
1,8,Nik Stauskas,SG,Canada,Sacramento Kings,Michigan,No,College Sophmore,2014
1,9,Noah Vonleh,PF,United States,Charlotte Hornets,Indiana,Yes,College Freshman,2014
1,10,Elfrid Payton,PG,United States,Philadelphia 76ers,Louisiana–Lafayette,Yes,College Junior,2014
1,11,Doug McDermott,SF,United States,Denver Nuggets,Creighton,Yes,College Senior,2014
1,12,Dario Šarić,PF,Croatia,Orlando Magic,Cibona Zagreb (Croatia),Yes,Playing Internationally,2014
1,13,Zach LaVine,SG,United States,Minnesota Timberwolves,UCLA,No,College Freshman,2014
1,14,T. J. Warren,SF,United States,Phoenix Suns,North Carolina State,No,College Sophmore,2014
1,15,Adreian Payne,PF,United States,Atlanta Hawks,Michigan State,No,College Senior,2014
1,16,Jusuf Nurkić,C,Bosnia and Herzegovina,Chicago Bulls,Cedevita Zagreb (Croatia),Yes,Playing Internationally,2014
1,17,James Young,SG/SF,United States,Boston Celtics,Kentucky,Yes,College Freshman,2014
1,18,Tyler Ennis,PG,Canada,Phoenix Suns,Syracuse,Yes,College Freshman,2014
1,19,Gary Harris,SG,United States,Chicago Bulls,Michigan State,Yes,College Sophmore,2014
1,20,Bruno Caboclo,SF,Brazil,Toronto Raptors,EC Pinheiros (Brazil),No,Playing Internationally,2014
1,21,Mitch McGary,PF,United States,Oklahoma City Thunder,Michigan,Yes,College Sophmore,2014
1,22,Jordan Adams,SG,United States,Memphis Grizzlies,UCLA,No,College Sophmore,2014
1,23,Rodney Hood,SG,United States,Utah Jazz,Duke,Yes,College Sophmore,2014
1,24,Shabazz Napier,PG,United States,Charlotte Hornets,Connecticut,Yes,College Senior,2014
1,25,Clint Capela,C,Switzerland,Houston Rockets,Élan Chalon,No,College Freshman,2014
1,26,P. J. Hairston,SG,United States,Miami Heat,Texas Legends (NBA D-League),Yes,Playing Internationally,2014
1,27,Bogdan Bogdanović,SG,Serbia,Phoenix Suns,Partizan Belgrade (Serbia),Yes,Playing Internationally,2014
1,28,C. J. Wilcox,SG,United States,Los Angeles Clippers,Washington,No,College Senior,2014
1,29,Josh Huestis,SF/PF,United States,Oklahoma City Thunder,Stanford,No,College Senior,2014
1,30,Kyle Anderson,SF,United States,San Antonio Spurs,UCLA,No,College Sophmore,2014
2,31,Damien Inglis,SF,France,Milwaukee Bucks,Chorale Roanne,No,College Freshman,2014
2,32,K. J. McDaniels,SF,United States,Philadelphia 76ers,Clemson,No,College Junior,2014
2,33,Joe Harris,SG,United States,Cleveland Cavaliers,Virginia,Yes,College Senior,2014
2,34,Cleanthony Early,SF,United States,New York Knicks,Wichita State,Yes,College Senior,2014
2,35,Jarnell Stokes,PF,United States,Utah Jazz,Tennessee,Yes,College Junior,2014
2,36,Johnny O'Bryant III,PF,United States,Milwaukee Bucks,Louisiana State,Yes,College Junior,2014
2,37,DeAndre Daniels,SF,United States,Toronto Raptors,Connecticut,Yes,College Junior,2014
2,38,Spencer Dinwiddie,PG/SG,United States,Detroit Pistons,Colorado,No,College Junior,2014
2,39,Jerami Grant,SF,United States,Philadelphia 76ers,Syracuse,Yes,College Sophmore,2014
2,40,Glenn Robinson III,SF,United States,Minnesota Timberwolves,Michigan,Yes,College Sophmore,2014
2,41,Nikola Jokić,C,Serbia,Denver Nuggets,Mega Vizura (Serbia),No,Playing Internationally,2014
2,42,Nick Johnson,PG/SG,United States,Houston Rockets,Arizona,Yes,College Junior,2014
2,43,Walter Tavares,C,Cape Verde,Atlanta Hawks,CB Gran Canaria (Spain),No,Playing Internationally,2014
2,44,Markel Brown,SG,United States,Minnesota Timberwolves,Oklahoma State,Yes,College Senior,2014
2,45,Dwight Powell,PF,Canada,Charlotte Hornets,Stanford,No,College Senior,2014
2,46,Jordan Clarkson,PG,United States,Washington Wizards,Missouri,Yes,College Junior,2014
2,47,Russ Smith,PG/SG,United States,Philadelphia 76ers,Louisville,Yes,College Senior,2014
2,48,Lamar Patterson,SG/SF,United States,Milwaukee Bucks,Pittsburgh,Yes,College Senior,2014
2,49,Cameron Bairstow,PF/C,Australia,Chicago Bulls,New Mexico,No,College Senior,2014
2,50,Alec Brown,C,United States,Phoenix Suns,Green Bay,No,College Senior,2014
2,51,Thanasis Antetokounmpo,SF,Greece,New York Knicks,Delaware 87ers (NBA D-League),Yes,Playing Internationally,2014
2,52,Vasilije Micić,PG,Serbia,Philadelphia 76ers,Mega Vizura (Serbia),Yes,Playing Internationally,2014
2,53,Alessandro Gentile,SF,Italy,Minnesota Timberwolves,Olimpia Milano (Italy),Yes,Playing Internationally,2014
2,54,Nemanja Dangubić,SG,Serbia,Philadelphia 76ers,Mega Vizura (Serbia),Yes,Playing Internationally,2014
2,55,Semaj Christon,PG,United States,Miami Heat,Xavier,Yes,College Sophmore,2014
2,56,Devyn Marble,SG/SF,United States,Denver Nuggets,Iowa,Yes,College Senior,2014
2,57,Louis Labeyrie,PF/C,France,Indiana Pacers,Paris-Levallois Basket,Yes,College Freshman,2014
2,58,Jordan McRae,SG,United States,San Antonio Spurs,Tennessee,Yes,College Senior,2014
2,59,Xavier Thames,PG/SG,United States,Toronto Raptors,San Diego State,Yes,College Senior,2014
2,60,Cory Jefferson,PF,United States,San Antonio Spurs,Baylor,Yes,College Senior,2014
1,1,Karl-Anthony Towns,C,Dominican Republic,Minnesota Timberwolves,Kentucky,No,College Freshman,2015
1,2,D'Angelo Russell,PG,United States,Los Angeles Lakers,Ohio State,No,College Freshman,2015
1,3,Jahlil Okafor,C,Nigeria,Philadelphia 76ers,Duke,No,College Freshman,2015
1,4,Kristaps Porziņģis,PF/C,Latvia,New York Knicks,Baloncesto Sevilla (Spain),No,Playing Internationally,2015
1,5,Mario Hezonja,SG/SF,Croatia,Orlando Magic,FC Barcelona (Spain),No,Playing Internationally,2015
1,6,Willie Cauley-Stein,PF,United States,Sacramento Kings,Kentucky,No,College Junior,2015
1,7,Emmanuel Mudiay,PG,DR Congo,Denver Nuggets,Guangdong Southern Tigers,No,College Sophmore,2015
1,8,Stanley Johnson,SF,United States,Detroit Pistons,Arizona,No,College Freshman,2015
1,9,Frank Kaminsky,PF,United States,Charlotte Hornets,Wisconsin,No,College Senior,2015
1,10,Justise Winslow,SF,United States,Miami Heat,Duke,No,College Freshman,2015
1,11,Myles Turner,C,United States,Indiana Pacers,Texas,No,College Freshman,2015
1,12,Trey Lyles,PF,Canada,Utah Jazz,Kentucky,No,College Freshman,2015
1,13,Devin Booker,SG,United States,Phoenix Suns,Kentucky,No,College Freshman,2015
1,14,Cameron Payne,PG,United States,Oklahoma City Thunder,Murray State,No,College Sophmore,2015
1,15,Kelly Oubre Jr.,SF,United States,Atlanta Hawks,Kansas,Yes,College Freshman,2015
1,16,Terry Rozier,PG,United States,Boston Celtics,Louisville,No,College Sophmore,2015
1,17,Rashad Vaughn,SG,United States,Milwaukee Bucks,UNLV,No,College Freshman,2015
1,18,Sam Dekker,SF,United States,Houston Rockets,Wisconsin,Yes,College Junior,2015
1,19,Jerian Grant,PG,United States,Washington Wizards,Notre Dame,Yes,College Senior,2015
1,20,Delon Wright,PG,United States,Toronto Raptors,Utah,No,College Senior,2015
1,21,Justin Anderson,SF,United States,Dallas Mavericks,Virginia,No,College Junior,2015
1,22,Bobby Portis,PF,United States,Chicago Bulls,Arkansas,No,College Sophmore,2015
1,23,Rondae Hollis-Jefferson,SF,United States,Portland Trail Blazers,Arizona,Yes,College Sophmore,2015
1,24,Tyus Jones,PG,United States,Cleveland Cavaliers,Duke,Yes,College Freshman,2015
1,25,Jarell Martin,PF,United States,Memphis Grizzlies,LSU,No,College Sophmore,2015
1,26,Nikola Milutinov,C,Serbia,San Antonio Spurs,Partizan Belgrade (Serbia),No,Playing Internationally,2015
1,27,Larry Nance Jr.,PF,United States,Los Angeles Lakers,Wyoming,Yes,College Senior,2015
1,28,R. J. Hunter,SG,United States,Boston Celtics,Georgia State,Yes,College Junior,2015
1,29,Chris McCullough,PF,United States,Brooklyn Nets,Syracuse,Yes,College Freshman,2015
1,30,Kevon Looney,PF,United States,Golden State Warriors,UCLA,No,College Freshman,2015
2,31,Cedi Osman,SG/SF,Turkey,Minnesota Timberwolves,Anadolu Efes (Turkey),Yes,Playing Internationally,2015
2,32,Montrezl Harrell,PF/C,United States,Houston Rockets,Louisville,Yes,College Junior,2015
2,33,Jordan Mickey,PF,United States,Boston Celtics,LSU,Yes,College Sophmore,2015
2,34,Anthony Brown,SF,United States,Los Angeles Lakers,Stanford,No,College Senior,2015
2,35,Willy Hernangómez,C,Spain,Philadelphia 76ers,Baloncesto Sevilla (Spain),Yes,Playing Internationally,2015
2,36,Rakeem Christmas,PF/C,United States,Minnesota Timberwolves,Syracuse,Yes,College Senior,2015
2,37,Richaun Holmes,SF/PF,United States,Philadelphia 76ers,Bowling Green,Yes,College Senior,2015
2,38,Darrun Hilliard,SG,United States,Detroit Pistons,Villanova,No,College Senior,2015
2,39,Juan Pablo Vaulet,SF,Argentina,Charlotte Hornets,Estudiantes de Bahía (Argentina),Yes,Playing Internationally,2015
2,40,Josh Richardson,SG,United States,Miami Heat,Tennessee,No,College Senior,2015
2,41,Pat Connaughton,SG,United States,Brooklyn Nets,Notre Dame,Yes,College Senior,2015
2,42,Olivier Hanlan,PG,Canada,Utah Jazz,Boston College,No,College Junior,2015
2,43,Joe Young,PG,United States,Indiana Pacers,Oregon,No,College Senior,2015
2,44,Andrew Harrison,PG,United States,Phoenix Suns,Kentucky,Yes,College Sophmore,2015
2,45,Marcus Thornton,PG,United States,Boston Celtics,William & Mary,No,College Senior,2015
2,46,Norman Powell,SG,United States,Milwaukee Bucks,UCLA,Yes,College Senior,2015
2,47,Artūras Gudaitis,C,Lithuania,Philadelphia 76ers,Žalgiris Kaunas (Lithuania),Yes,Playing Internationally,2015
2,48,Dakari Johnson,C,United States,Oklahoma City Thunder,Kentucky,No,College Sophmore,2015
2,49,Aaron White,PF,United States,Washington Wizards,Iowa,No,College Senior,2015
2,50,Marcus Eriksson,SG,Sweden,Atlanta Hawks,FC Barcelona (Spain),Yes,Playing Internationally,2015
2,51,Tyler Harvey,PG,United States,Orlando Magic,Eastern Washington,Yes,College Junior,2015
2,52,Satnam Singh,C,India,Dallas Mavericks,"IMG Academy (Bradenton, Florida; HSPg.)",No,Playing Internationally,2015
2,53,Sir'Dominic Pointer,SF,United States,Cleveland Cavaliers,St. John's,Yes,College Senior,2015
2,54,Dani Díez,SF,Spain,Utah Jazz,Gipuzkoa Basket (Spain),Yes,Playing Internationally,2015
2,55,Cady Lalanne,PF,Haiti,San Antonio Spurs,Massachusetts,No,College Senior,2015
2,56,Branden Dawson,SF,United States,New Orleans Pelicans,Michigan State,Yes,College Senior,2015
2,57,Nikola Radičević,PG,Serbia,Denver Nuggets,Baloncesto Sevilla (Spain),Yes,Playing Internationally,2015
2,58,J. P. Tokoto,SG/SF,United States,Philadelphia 76ers,North Carolina,Yes,College Junior,2015
2,59,Dimitrios Agravanis,PF,Greece,Atlanta Hawks,Olympiacos (Greece),No,Playing Internationally,2015
2,60,Luka Mitrović,PF,Serbia,Philadelphia 76ers,Red Star Belgrade (Serbia),Yes,Playing Internationally,2015
1,1,Ben Simmons,PF/PG,Australia,Philadelphia 76ers,LSU,No,College Freshman,2016
1,2,Brandon Ingram,SF,United States,Los Angeles Lakers,Duke,No,College Freshman,2016
